name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Justin Bieber,justinbieber,114306836,284268,,The 6,Pop musician,http://pbs.twimg.com/profile_images/1473447174591684612/vlsbWYtq_normal.jpg,https://JustinBieber.lnk.to/JusticeTCD,2022-05-12 12:50:48
KATY PERRY,katyperry,108900883,239,en,,Pop musician,http://pbs.twimg.com/profile_images/1392465354622791687/w_KwtKcE_normal.jpg,http://linktr.ee/katyperry,2022-05-12 09:50:58
Rihanna,rihanna,106490137,997,en,,K-pop musician,http://pbs.twimg.com/profile_images/1133109643734130688/BwioAwkz_normal.jpg,https://ri-hanna.io/fentyparfum,2022-05-12 14:50:11
Taylor Swift,taylorswift13,90337774,,,,Pop musician,http://pbs.twimg.com/profile_images/1405947624184713220/aCLC4bTE_normal.jpg,https://taylor.lnk.to/RedTaylorsVersion,2022-05-12 13:50:26
Lady Gaga,ladygaga,84677371,118087,und,,Pop musician,http://pbs.twimg.com/profile_images/1519346609125003264/rekKHZUq_normal.jpg,"https://ladygaga.lnk.to/HoldMyHand,https://TonyGaga.lnk.to/LoveForSale",2022-05-12 13:50:27
Selena Gomez,selenagomez,65854538,1084,en,Los Angeles,Pop musician,http://pbs.twimg.com/profile_images/1490735661409832963/MdjPf5jL_normal.jpg,"https://linktr.ee/selenagomez,http://smarturl.it/REVELACIONSG",2022-05-12 13:50:26
Justin Timberlake,jtimberlake,63199149,332,,"Memphis, TN",Pop musician,http://pbs.twimg.com/profile_images/1232096230702014464/E7LexPCo_normal.jpg,http://bit.ly/BETTERDAYSxFAIRFIGHT,2022-05-12 09:50:58
Britney Spears,britneyspears,55833008,363863,,"Los Angeles, CA",Pop musician,http://pbs.twimg.com/profile_images/1323418800876777474/0w4orMOC_normal.jpg,https://smarturl.it/BS.GloryDeluxe,2022-05-12 09:50:58
Demi Lovato,ddlovato,54219258,,en,DALLAS/LA,Pop musician,http://pbs.twimg.com/profile_images/1509235931257126923/sa6r9AKC_normal.jpg,https://linktr.ee/demilovato,2022-05-12 10:50:27
Shakira,shakira,52836885,232,es,Barranquilla,Pop musician,http://pbs.twimg.com/profile_images/1517482924077207553/KVYNrafL_normal.jpg,https://linktr.ee/shakira,2022-05-12 00:51:20
Amitabh Bachchan,SrBachchan,47482169,1799,en,"Mumbai, India",K-pop musician,http://pbs.twimg.com/profile_images/1262261228652675072/Pl_u58Pb_normal.jpg,https://srbachchan.tumblr.com/,2022-05-12 09:50:52
Miley Cyrus,MileyCyrus,46766295,72,en,,Pop musician,http://pbs.twimg.com/profile_images/1508113981130559500/BGp9Hv1F_normal.jpg,http://mileyworld.com,2022-05-12 11:50:25
Bruno Mars,BrunoMars,43270691,95,en,,Pop musician,http://pbs.twimg.com/profile_images/1488093046747000832/aPjggOc1_normal.jpg,http://www.brunomars.com,2022-05-12 05:50:46
Niall Horan,NiallOfficial,41304462,5740,en,"Mullingar,Westmeath,Ireland",Pop musician,http://pbs.twimg.com/profile_images/1466536333288124419/g5Dtpp6S_normal.jpg,http://niallhoran.com,2022-05-11 14:50:51
Harry Styles.,Harry_Styles,37712424,1814,en,,Pop musician,http://pbs.twimg.com/profile_images/1506662939410907136/ogCRZ0MJ_normal.jpg,http://hstyles.co.uk,2022-05-12 13:50:26
Sachin Tendulkar,sachin_rt,37311751,81,en,"ÜT: 18.986431,72.823769",K-pop musician,http://pbs.twimg.com/profile_images/1410819014255730689/u76ZqFWN_normal.jpg,http://bit.ly/100MBApp,2022-05-12 12:51:15
Louis Tomlinson,Louis_Tomlinson,36034382,3471,en,Doncaster,Pop musician,http://pbs.twimg.com/profile_images/1167116488035262472/IthDWGne_normal.jpg,https://louis-tomlinson.com,2022-05-12 11:50:25
Hillary Clinton,HillaryClinton,31475986,960,en,"New York, NY",K-pop musician,http://pbs.twimg.com/profile_images/1291192333199958017/SvH8J8_P_normal.jpg,http://onwardtogether.org,2022-05-12 13:50:27
Alicia Keys,aliciakeys,30098169,773,en,New York City,K-pop musician,http://pbs.twimg.com/profile_images/1433098602994409479/WGbwul6a_normal.jpg,https://linktr.ee/aliciakeys,2022-05-11 06:50:24
Adele,Adele,27478677,1,,London,Pop musician,http://pbs.twimg.com/profile_images/1448287947686617089/N7uf8mjs_normal.jpg,"http://adele.com,http://adele.com",2022-05-12 12:51:07
Shawn Mendes,ShawnMendes,26777422,54608,en,,Pop musician,http://pbs.twimg.com/profile_images/1424775968728576002/-bH70SQM_normal.jpg,http://wonderthetour.com,2022-05-12 13:50:26
Nicki Minaj,NICKIMINAJ,25198088,6005,en, #WeGoUp VIDEO OUT 📈⏰‼️🎀,K-pop musician,http://pbs.twimg.com/profile_images/1494417938153041939/NC6OZzg7_normal.jpg,"http://NickiMinajOfficial.com,https://m.youtube.com/watch?v=KSd4nGoNftg&feature=youtu.be",2022-05-12 11:51:22
Pitbull,pitbull,25119363,2305,en,"Miami, FL",,http://pbs.twimg.com/profile_images/1177433020225032193/1loE2ws__normal.jpg,https://mr305.co/csun,2022-05-12 02:15:57
A.R.Rahman,arrahman,24128689,3,und,"Chennai, India",Bollywood musician,http://pbs.twimg.com/profile_images/1209988634184581120/Bu95OE_R_normal.jpg,http://www.instagram.com/arrahman,2022-05-12 12:51:15
Anushka Sharma,AnushkaSharma,23082211,120,hi,,K-pop musician,http://pbs.twimg.com/profile_images/1397933191344791560/ovmcd_a0_normal.jpg,http://www.facebook.com/AnushkaSharmaOfficial/,2022-05-12 10:50:46
Mariah Carey,MariahCarey,21797828,188,en,Citizen of the World Dahhhling,R&B and soul musician,http://pbs.twimg.com/profile_images/1486066100248981508/AwBY6X2x_normal.jpg,http://mariahcareyshop.com,2022-05-12 03:50:50
Avril Lavigne,AvrilLavigne,20665361,144,en,,Pop rock musician,http://pbs.twimg.com/profile_images/1481686795851120642/GLgT4ZXO_normal.jpg,http://avrillavigne.lnk.to/lovesux,2022-05-12 10:50:43
Blake Shelton,blakeshelton,19856692,662,en,"Tishomingo, Ok",Country musician,http://pbs.twimg.com/profile_images/1307016477124562945/WCeEEULV_normal.jpg,http://wmna.sh/bodylanguagedeluxe,2022-05-11 23:50:45
Leonardo DiCaprio,LeoDiCaprio,19650020,237,pt,"Los Angeles, CA",K-pop musician,http://pbs.twimg.com/profile_images/694662257586892802/mdc5ELjj_normal.jpg,,2022-05-12 13:50:42
elrubius,Rubiu5,19071096,888,und,Skyrim,K-pop musician,http://pbs.twimg.com/profile_images/1506654000329994241/VLzVE2lS_normal.jpg,http://www.youtube.com/elrubiusOMG,2022-05-12 13:51:27
AGNEZ MO,agnezmo,17910651,1040,in,Los Angeles,Pop musician,http://pbs.twimg.com/profile_images/1488302598893363202/B1rcuXwj_normal.jpg,https://linktr.ee/agnezmo,2022-05-12 07:51:07
Ed Sheeran HQ,edsheeran,17631507,,en,London,Pop musician,http://pbs.twimg.com/profile_images/1506590955838787586/C_TaYC8r_normal.jpg,https://es.lnk.to/2step,2022-05-12 04:50:36
Anitta,Anitta,16984255,766,pt,,Pop musician,http://pbs.twimg.com/profile_images/1514757302028488709/suxMlQoh_normal.jpg,https://Anitta.lnk.to/VersionsofMe,2022-05-12 10:51:23
Christina Aguilera,xtina,16698003,47,en,,Pop musician,http://pbs.twimg.com/profile_images/1481721941459361794/9kpqcMmL_normal.jpg,http://Xtina.lnk.to/LaFuerza,2022-05-12 00:50:33
The Weeknd,theweeknd,16139838,5,en,"Toronto, Ontario",R&B and soul musician,http://pbs.twimg.com/profile_images/1478367769187926016/0QSuatcL_normal.jpg,,2022-05-12 12:51:04
Elissa,elissakh,15784530,387,ar,beirut,Pop musician,http://pbs.twimg.com/profile_images/1521820905336414208/QbceM7es_normal.jpg,"http://www.elissalb.com,https://youtube.com/Elissa",2022-05-12 11:50:35
Nancy Ajram,NancyAjram,15541442,159,ar,Lebanon,Pop musician,http://pbs.twimg.com/profile_images/1413789388790800390/CRaPvqp8_normal.jpg,https://bfan.link/NancyAjram-MaTetezer,2022-05-12 13:13:43
BEYONCÉ,Beyonce,15447457,9,,,Pop musician,http://pbs.twimg.com/profile_images/1490488622163763203/9DSoh1oE_normal.jpg,https://beyonce.com,2022-05-12 04:50:38
Daddy Yankee 🐐,daddy_yankee,15325298,86,es,Puerto Rico ,Reggaeton musician,http://pbs.twimg.com/profile_images/1504943298447908864/Qng0_cK6_normal.jpg,http://www.daddyyankee.com,2022-05-12 08:50:57
Sergio Kun Aguero,aguerosergiokun,15114639,146,es,"Barcelona, España",K-pop musician,http://pbs.twimg.com/profile_images/1061753629722492929/dGtVACSP_normal.jpg,"http://sergioaguero.com,http://Stake.com,http://twitch.tv/slakun10",2022-05-12 02:50:53
Lata Mangeshkar,mangeshkarlata,14934893,9,,"Mumbai, Maharashtra",Bollywood musician,http://pbs.twimg.com/profile_images/995562014/142_PHOTO_normal.jpg,"http://en.wikipedia.org/wiki/Lata_Mangeshkar,https://www.facebook.com/LataMangeshkar",2022-05-12 10:50:46
Nick Jonas,nickjonas,14205605,626,en,"Los Angeles, CA",Pop musician,http://pbs.twimg.com/profile_images/1498661005273882628/mdZPG3U9_normal.jpg,http://ticketmaster.com/jonasvegas,2022-05-11 16:50:45
Enrique Iglesias,enriqueiglesias,13836689,2528,,"Miami, FL",Pop musician,http://pbs.twimg.com/profile_images/1449858724282212360/zB3FugYu_normal.jpg,"https://EnriqueIglesias.lnk.to/FinalAlbumVol1,http://youtube.com/watch?v=uzPuxL",2022-05-11 05:50:45
John Legend,johnlegend,13827705,1488,en,,R&B and soul musician,http://pbs.twimg.com/profile_images/1468402384007168002/qCFg6-kY_normal.jpg,"https://www.johnlegend.com/,http://johnlegend.com",2022-05-12 12:50:26
Mark,markiplier,13682807,359,en,Los Angeles,K-pop musician,http://pbs.twimg.com/profile_images/1511102924310544387/j6E29xq6_normal.jpg,https://www.youtube.com/watch?v=xAOv_zvXBQk,2022-05-08 19:50:50
Kelly Clarkson,kellyclarkson,12109064,144,en,TX,Pop musician,http://pbs.twimg.com/profile_images/1438570861292707842/l_RHuRXj_normal.jpg,http://kellyclarkson.com,2022-05-12 07:51:04
Usher Raymond IV,Usher,11998557,561,,,R&B and soul musician,http://pbs.twimg.com/profile_images/1496609310104641536/ON80p8-W_normal.jpg,http://linktr.ee/usherofficial,2022-05-10 11:50:55
Twitter Music is listening to Davido,TwitterMusic,11694511,728,en,"Lagos, Nigeria",Afrobeats musician,http://pbs.twimg.com/profile_images/1519009353306710019/CH-Kddln_normal.jpg,,2022-05-12 13:51:12
Ciara,ciara,11687019,56,en,,R&B and soul musician,http://pbs.twimg.com/profile_images/1229450402552152064/z6KnjsEk_normal.jpg,http://ciara.ffm.to/rooted,2022-05-11 21:51:06
TRAVIS SCOTT,trvisXX,11428503,679,,,K-pop musician,http://pbs.twimg.com/profile_images/634514155261833216/czgYrPLQ_normal.jpg,https://TravisScott.lnk.to/ESCAPEPLAN_MAFIA,2022-05-12 04:50:36
Davido,davido,11317523,1011,en,"Lagos, Nigeria",Afrobeats musician,http://pbs.twimg.com/profile_images/1336955376273674242/yzTuEdI0_normal.jpg,https://Davido.lnk.to/ChampionSoundVideo,2022-05-12 12:16:46
J BALVIN,JBALVIN,10666829,544,es,,Reggaeton musician,http://pbs.twimg.com/profile_images/1478877644028616707/sPhCRKiE_normal.jpg,https://jbalvin.lnk.to/JOSEDeluxe,2022-05-11 09:50:37
Pharrell Williams,Pharrell,10657817,1104,en,,Pop musician,http://pbs.twimg.com/profile_images/1468061141796409347/mzeJC8yA_normal.jpg,https://linktr.ee/pharrell,2022-05-12 11:51:13
Luke Hemmings,Luke5SOS,10258414,18802,en,He/Him,Pop musician,http://pbs.twimg.com/profile_images/1417626623210258432/VK6jKCiR_normal.jpg,https://linktr.ee/lukehemmings,2022-05-07 20:51:09
michael clifford on tour,Michael5SOS,10160910,14129,en,he/him,Pop musician,http://pbs.twimg.com/profile_images/1303069970889281536/kKGxThQL_normal.jpg,http://twitch.tv/michaelclifford,2022-05-09 18:50:18
Wizkid,wizkidayo,10021473,1429,en,STARBOY⭐️🌹,Afrobeats musician,http://pbs.twimg.com/profile_images/1323608978060910592/Vs_TDnha_normal.jpg,"http://youtu.be/5OJ_5aS-PdM,http://wizkid.lnk.to/MILDeluxe",2022-05-12 12:50:26
DUA LIPA,DUALIPA,9437366,1173,it,LONDON,Pop musician,http://pbs.twimg.com/profile_images/1243465670454632449/Gm06laC1_normal.jpg,https://dualipa.lnk.to/SweetestPieTA,2022-05-12 12:51:17
